Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΜΑΡΟΥΛΙΑ,,"0,45",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"0,45",,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ,ΦΙΛΕΤΟ ΚΟΤΟΠΟΥΛΟ,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΧΟΙΡΙΝΟ ΚΟΝΤΟΣΟΥΒΛΙ,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΜΠΕΡΓΚΕΡ ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ",,5/4/2025 8:36am,,,"ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ  ΜΕΡΙΔΑ,ΤΣΙΠΟΥΡΑ ,ΜΠΕΡΓΚΕΡ ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ",,,,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ, ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ, ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ, ΦΙΛΕΤΟ ΚΟΤΟΠΟΥΛΟ, ΧΟΙΡΙΝΟ ΚΟΝΤΟΣΟΥΒΛΙ",
ΜΑΣΤΙΧΑ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,,6/4/2025 9:26am,,,,,,,,,
ΜΑΥΡΗ ΤΡΟΜΠΕΤΑ,,"100,00",CONNECTED INGREDIENTS,ΜΑΝΙΤΑΡΙΑ,"100,00",,,,,6/4/2025 8:26am,,,,,,,,,
ΜΑΥΡΟΜΑΤΙΚΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,30",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,30",,,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,,6/4/2025 8:28am,,,,,,,,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,
ΜΕΙΓΜΑ ΒΑΦΛΑΣ,,"4,55",CONNECTED INGREDIENTS,ΑΛΕΥΡΑ,"4,55",,,,,28/6/2025 9:32am,,,,,,,,,
ΜΕΙΓΜΑ ΚΡΕΠΑΣ,,"4,60",CONNECTED INGREDIENTS,ΑΛΕΥΡΑ,"4,60",ΜΕΙΓΜΑ ΚΡΕΠΑΣ,"0,00",,,28/6/2025 9:31am,,,,,,,,,
ΜΕΛΙ 900,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","4,82",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"4,82",,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000,ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,6/4/2025 8:28am,,,"ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,,,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX, ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ""ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000"", ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ, Unnamed record, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000",
ΜΕΛΙΤΖΑΝΕΣ,,"1,30",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,30",,,"ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ",,5/4/2025 8:36am,,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,,,,,"ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ",
ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ,,,CONNECTED INGREDIENTS,,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,,8/4/2025 8:48pm,,,,,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,
ΜΕΤΣΟΒΟΝΕ,,"14,99",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"14,99",,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,ΜΕΤΣΟΒΟΝΕ",,15/4/2025 9:09am,,,,,,,,"ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, ΜΕΤΣΟΒΟΝΕ",
ΜΗΛΑ ΣΜΙΘ,,"1,00",CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,"1,00",,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,,6/4/2025 8:18am,,,,,,,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,
ΜΗΛΑ ΣΤΑΡΚΙΝ,,"1,30",CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,"1,30",,,,,6/4/2025 8:18am,,,,,,,,,
ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ ΕΛΛΗΝΙΚΗ,,"15,04",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"15,04",,,ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,,6/4/2025 8:24am,,,,,,,,ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,
ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,,"15,05",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"15,05",,,,,6/4/2025 8:24am,,,,,,,,ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,
ΜΟΣΧΟΚΑΡΥΔΟ ΤΡΙΜ (0.5/ΤΜΧ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","30,87",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"30,87",,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,6/4/2025 8:28am,,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ",
ΜΟΣΧΟΚΑΡΥΔΟ ΤΡΙΜΜΕΝΟ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,,9/4/2025 9:16am,,,,,,,,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,
ΜΟΤΣΑΡΕΛΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","6,74",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"6,74",,,"Unnamed record,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,ΠΕΠΕΡΟΝΙ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΟΛΟ,ΠΡΟΣΟΥΤΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΣΠΕΣΙΑΛ,ΤΥΡΟΨΩΜΟ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,4 ΕΠΟΧΕΣ",,6/4/2025 8:21am,,,"ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,4 ΕΠΟΧΕΣ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΤΥΡΟΨΩΜΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΠΡΟΣΟΥΤΟ,ΠΟΛΟ",,,,,,
ΜΟΤΣΑΡΕΛΑ ΦΡΕΣΚΙΑ 125ΓΡ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,13",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"1,13",,,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,,6/4/2025 8:21am,,,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,,,,,,
ΜΟΥΣΤΑΡΔΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,23",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,23",,,"ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,ΣΩΣ ΚΙΤΡΙΝΗ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000",,6/4/2025 8:28am,,,,,,,,"ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ""ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ"", ΣΩΣ ΚΙΤΡΙΝΗ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, Unnamed record, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000",
ΜΠΑΚΑΛΙΑΡΑΚΙ,,"3,05",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"3,05",,,,,6/4/2025 8:25am,,,,,,,,,
ΜΠΑΝΑΝΕΣ,,"1,15",CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,"1,15",,,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,,6/4/2025 8:18am,,,,,,,,ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,
ΜΠΑΧΑΡΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","14,05",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"14,05",,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,6/4/2025 8:28am,,,,,,,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,
ΜΠΕΙΚΟΝ ΚΑΠΝΙΣΤΟ,,"5,31",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"5,31",,,"ΜΠΕΡΓΚΕΡ YACHT CLUB,Unnamed record,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΜΠΕΡΓΚΕΡ ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΟΛΟ,ΣΠΕΣΙΑΛ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,4 ΕΠΟΧΕΣ",,6/4/2025 8:22am,,,"ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,4 ΕΠΟΧΕΣ,ΣΠΕΣΙΑΛ,ΠΟΛΟ,ΜΠΕΡΓΚΕΡ ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ",,,,,ΜΠΕΡΓΚΕΡ YACHT CLUB,
ΜΠΕΣΑΜΕΛ,,,CONNECTED INGREDIENTS,,,,,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,,8/4/2025 8:57pm,,,,,,,,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,
ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,63",ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,"0,63","ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ",,9/4/2025 8:55am,,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ",,,,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ",
ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,63",ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,"0,63",,,7/5/2025 7:07am,,,,,,,,,
ΜΠΙΦΤΕΚΙ,,,CONNECTED INGREDIENTS,,,,,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,,8/4/2025 9:40pm,,,,,,,,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,
ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,,,CONNECTED INGREDIENTS,COMPOSITE,"1,15",ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,"1,15",,,9/4/2025 8:53am,,,,,,,,,
ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ,,,CONNECTED INGREDIENTS,,,,,ΜΠΕΡΓΚΕΡ YACHT CLUB,,8/4/2025 9:37pm,,,,,,,,,
ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"1,19",ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,"1,19","ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ",,9/4/2025 8:55am,,,ΜΠΕΡΓΚΕΡ ,,,,,"ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ",
ΜΠΟΥΚΟΒΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","10,29",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"10,29",,,"ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΤΥΡΟΚΑΥΤΕΡΗ",,6/4/2025 8:28am,,,ΤΥΡΟΚΑΥΤΕΡΗ,,,,,ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,
ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ,,"6,64",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"6,64",,,,,6/4/2025 8:24am,,,,,,,,,
ΜΥΡΤΙΛΟ ΚΟΚΚΙΝΟ,,"4,60",CONNECTED INGREDIENTS,SUPER FOOD,"4,60",,,,,6/4/2025 8:19am,,,,,,,,,
ΜΥΡΤΙΛΟ ΜΑΥΡΟ,,"4,60",CONNECTED INGREDIENTS,SUPER FOOD,"4,60",,,,,8/4/2025 4:46pm,,,,,,,,,
ΝΕΡΟ,,"0,23",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"0,23",,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΚΡΕΠΑ,ΒΑΦΛΑ",,8/4/2025 6:01pm,,,,,,,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΚΡΕΠΑ, ΒΑΦΛΑ",
ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ,,"3,60",CONNECTED INGREDIENTS,SUPER FOOD,"3,60",,,"ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,6/4/2025 8:19am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,"""ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ"", ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",
ΝΟΥΚΡΕΜΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,65",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,65",,,"ΒΑΦΛΑ ΝΟΥΤΕΛΑ,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΚΡΕΠΑ ΝΟΥΤΕΛΑ",,6/4/2025 8:28am,,,"ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΒΑΦΛΑ ΝΟΥΤΕΛΑ,ΚΡΕΠΑ ΝΟΥΤΕΛΑ",,,,,,
ΝΤΟΜΑΤΙΝΙΑ,,"2,20",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"2,20",,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΡΟΣΟΥΤΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ",,5/4/2025 8:36am,,,"ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΡΟΣΟΥΤΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ",,,,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ",
ΞΗΡΟΙ ΚΑΡΠΟΙ,,,CONNECTED INGREDIENTS,,,,,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,,8/4/2025 9:36pm,,,,,,,,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,
ΞΙΝΟΜΥΖΗΘΡΑ,,,CONNECTED INGREDIENTS,,,,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,,8/4/2025 9:34pm,,,,,,,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,
